proba,sqrt,heron_naive,heron_fast
1,0.001621,0.087025,0.041586
2,0.001506,0.084019,0.039542
3,0.001566,0.085972,0.049113
4,0.002288,0.089531,0.037023
5,0.001548,0.084099,0.049564
srednia,0.001706,0.086129,0.043365
